func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD
2,1986,371.09848,30.54823,47.5,82923,371.09848,3.27,-1,1,-1,
2,1987,355.0664,30.55435,43.6,94171,355.0664,3,-1,1,-1,
2,1988,429.92773,30.57637,41.4,10774,429.92773,2.86,-1,1,-1,
2,1989,934.4791,30.69135,85,44283,934.4791,5.87,-1,1,-1,
2,1990,934.9858,30.69142,84.9,42156,934.9858,5.8,-1,1,-1,
2,1991,686.40393,30.74257,97.1,27986,686.40393,6.71,-1,1,-1,
2,1992,371.0992,30.77601,47.8,83564,371.0992,3.27,-1,1,-1,
2,1993,429.08524,30.81204,53.8,58367,429.08524,3.69,-1,1,-1,
2,1994,355.0666,30.81773,43.8,72644,355.0666,3,-1,1,-1,
2,1995,630.6439,30.82019,55.6,183760,630.6439,3.81,-1,1,-1,
2,1996,630.9782,30.8238,55.6,143798,630.9782,3.81,-1,1,-1,
2,1997,630.3099,30.8288,55.5,184928,630.3099,3.81,-1,1,-1,
2,1998,631.31177,30.85539,55.3,46264,631.31177,3.81,-1,1,-1,
2,1999,707.38184,30.87372,57.6,404011,707.38184,3.95,-1,1,-1,
2,2000,707.71497,30.87398,57.8,180758,707.71497,3.95,-1,1,-1,
2,2001,707.0479,30.87411,57.7,602181,707.0479,3.95,-1,1,-1,
2,2002,706.7141,30.87475,57.8,511080,706.7141,3.95,-1,1,-1,
2,2003,708.04974,30.89345,57.6,64619,708.04974,3.95,-1,1,-1,
2,2004,978.9779,30.90817,85.9,27119,978.9779,5.87,-1,1,-1,
2,2005,746.3762,30.96034,65.7,21475,746.3762,4.5,-1,1,-1,
2,2006,746.87854,30.96495,65.8,28113,746.87854,4.5,-1,1,-1,
2,2007,657.4924,31.04327,59,19975,657.4924,4.09,-1,1,-1,
2,2008,658.3429,31.04538,59.2,60735,658.3429,4.09,-1,1,-1,
2,2009,656.9907,31.04572,58.9,27678,656.9907,4.02,-1,1,-1,
2,2010,657.33966,31.04773,59,525085,657.33966,4.09,-1,1,-1,
2,2011,707.35614,31.05162,63.800003,81227,707.35614,4.37,-1,1,-1,
2,2012,656.83844,31.05865,59,797259,656.83844,4.09,-1,1,-1,
2,2013,658.3073,31.06087,56.1,33622,658.3073,3.88,-1,1,-1,
2,2014,657.8403,31.06197,59,224782,657.8403,4.09,-1,1,-1,
2,2015,708.35974,31.06264,63.300003,26444,708.35974,4.37,-1,1,-1,
2,2016,659.0563,31.06501,56.3,24269,659.0563,3.88,-1,1,-1,
2,2017,658.5574,31.06528,56.3,57089,658.5574,3.88,-1,1,-1,
2,2018,456.20078,31.06858,38.7,21171,456.20078,2.65,-1,1,-1,
2,2019,707.8579,31.07498,63.300003,60545,707.8579,4.37,-1,1,-1,
