func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD
2,2028,933.3954,31.26711,79.4,149797,933.3954,5.46,-1,1,-1,
2,2029,933.89764,31.26823,79.5,147111,933.89764,5.46,-1,1,-1,
2,2030,934.89685,31.27004,79.5,42715,934.89685,5.46,-1,1,-1,
2,2031,622.59924,31.27872,53.1,56719,622.59924,3.68,-1,1,-1,
2,2032,623.2691,31.28236,53.2,24803,623.2691,3.68,-1,1,-1,
2,2033,934.3977,31.28539,79.5,85739,934.3977,5.46,-1,1,-1,
2,2034,622.93585,31.288,53.3,41986,622.93585,3.68,-1,1,-1,
2,2035,406.7247,31.47852,40.2,21231,406.7247,2.79,-1,1,-1,
2,2036,792.4184,31.49195,72.4,129089,792.4184,4.99,-1,1,-1,
2,2037,791.58264,31.49219,72.1,24690,791.58264,4.99,-1,1,-1,
2,2038,528.279,31.49353,47.9,55109,528.279,3.27,-1,1,-1,
2,2039,791.917,31.50525,72.4,373655,791.917,4.99,-1,1,-1,
2,2040,717.8347,31.50552,63.300003,26178,717.8347,4.37,-1,1,-1,
2,2041,791.416,31.50732,72.3,839208,791.416,4.99,-1,1,-1,
2,2042,791.0813,31.5083,72,33375,791.0813,4.99,-1,1,-1,
2,2043,527.94617,31.50888,47.7,121801,527.94617,3.27,-1,1,-1,
2,2044,527.6104,31.51125,47.6,140088,527.6104,3.27,-1,1,-1,
2,2045,792.91986,31.51149,72.2,34321,792.91986,4.99,-1,1,-1,
2,2046,521.60583,31.5131,48.7,24013,521.60583,3.34,-1,1,-1,
2,2047,528.6131,31.51823,48,19557,528.6131,3.34,-1,1,-1,
2,2048,780.71783,31.52802,68.8,66063,780.71783,4.71,-1,1,-1,
2,2049,790.91284,31.52841,72,1110071,790.91284,4.99,-1,1,-1,
2,2050,521.93896,31.53064,48.3,28375,521.93896,3.34,-1,1,-1,
2,2051,790.4011,31.53253,69,405520,790.4011,4.78,-1,1,-1,
2,2052,527.27106,31.53409,46.4,63370,527.27106,3.2,-1,1,-1,
2,2053,789.89923,31.53445,68.9,527017,789.89923,4.71,-1,1,-1,
