func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD
2,109,551.9158,19.27337,50.8,53602,551.9158,3.47,-1,1,-1,
2,110,551.56146,19.27392,50.8,59878,551.56146,3.47,-1,1,-1,
2,111,551.2732,19.27988,83.4,16540,551.2732,5.75,-1,1,-1,
2,112,552.77856,19.28034,51,108980,552.77856,3.54,-1,1,-1,
2,113,551.4142,19.2809,50.8,126701,551.4142,3.47,-1,1,-1,
2,114,552.2779,19.28492,50.9,429654,552.2779,3.47,-1,1,-1,
2,115,551.77686,19.2876,50.9,1414269,551.77686,3.47,-1,1,-1,
2,116,567.2709,19.28909,50.8,24508,567.2709,3.47,-1,1,-1,
2,117,551.2768,19.28932,50.9,2096927,551.2768,3.47,-1,1,-1,
2,118,553.2806,19.29375,51,21387,553.2806,3.54,-1,1,-1,
2,119,537.7557,19.4117,50.1,40104,537.7557,3.47,-1,1,-1,
2,120,536.75275,19.41216,50.2,197669,536.75275,3.47,-1,1,-1,
2,121,537.25555,19.41279,50.2,107176,537.25555,3.47,-1,1,-1,
2,122,504.2598,19.41545,68.5,41152,504.2598,4.72,-1,1,-1,
2,123,498.20502,19.41697,66.7,17587,498.20502,4.58,-1,1,-1,
2,124,235.61063,19.41929,27.1,11680,235.61063,1.9,-1,1,-1,
2,125,465.23413,19.43407,42.9,51278,465.23413,2.93,-1,1,-1,
2,126,474.36804,19.43852,42.5,21658,474.36804,2.93,-1,1,-1,
2,127,474.74036,19.45105,42.6,258592,474.74036,2.93,-1,1,-1,
2,128,474.23987,19.4524,42.6,501300,474.23987,2.93,-1,1,-1,
2,129,465.73444,19.45328,42.8,19718,465.73444,2.93,-1,1,-1,
2,130,563.2715,19.45533,74,37603,563.2715,5.12,-1,1,-1,
2,131,475.24127,19.46695,42.8,60394,475.24127,2.93,-1,1,-1,
2,132,527.78516,19.47088,46,28524,527.78516,3.2,-1,1,-1,
2,133,390.8833,19.4795,35.8,24060,390.8833,2.44,-1,1,-1,
2,134,527.2826,19.48093,46.1,47481,527.2826,3.2,-1,1,-1,
2,135,488.23047,19.54021,67.4,28813,488.23047,4.65,-1,1,-1,
2,136,392.71762,19.55938,70.1,10056,392.71762,4.86,-1,1,-1,
2,137,362.22324,19.56582,36.7,38475,362.22324,2.51,-1,1,-1,
2,138,434.74777,19.56747,40.5,13079,434.74777,2.79,-1,1,-1,
